id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total
0,A Jesus Garcia,ESP,male,10/17/1969,1.72,64,athletics,0,0,0,0
1,A Lam Shin,KOR,female,9/23/1986,1.68,56,fencing,0,0,0,0
2,Aaron Brown,CAN,male,5/27/1992,1.98,79,athletics,0,0,1,1
3,Aaron Cook,MDA,male,1/2/1991,1.83,80,taekwondo,0,0,0,0
4,Aaron Gate,NZL,male,11/26/1990,1.81,71,cycling,0,0,0,0
5,Aaron Royle,AUS,male,1/26/1990,1.8,67,triathlon,0,0,0,0
6,Aaron Russell,USA,male,6/4/1993,2.05,98,volleyball,0,0,1,1
7,Aaron Younger,AUS,male,9/25/1991,1.93,100,aquatics,0,0,0,0
8,Aauri Lorena Bokesa,ESP,female,12/14/1988,1.8,62,athletics,0,0,0,0
9,Ababel Yeshaneh,ETH,female,7/22/1991,1.65,54,athletics,0,0,0,0
10,Abadi Hadis,ETH,male,11/6/1997,1.7,63,athletics,0,0,0,0
11,Abbas Abubakar Abbas,BRN,male,5/17/1996,1.75,66,athletics,0,0,0,0
12,Abbas Qali,IOA,male,10/11/1992,1.68,57.5,aquatics,0,0,0,0
13,Abbey D'Agostino,USA,female,5/25/1992,1.61,49,athletics,0,0,0,0
14,Abbey Weitzeil,USA,female,12/3/1996,1.78,68,aquatics,1,1,0,2
15,Abbie Brown,GBR,female,4/10/1996,1.76,71,rugby sevens,0,0,0,0
16,Abbos Rakhmonov,UZB,male,7/7/1998,1.61,57,wrestling,0,0,0,0
17,Abbubaker Mobara,RSA,male,2/18/1994,1.75,64,football,0,0,0,0
18,Abby Erceg,NZL,female,11/20/1989,1.75,68,football,0,0,0,0
19,Abd Elhalim Mohamed Abou,EGY,male,6/3/1989,2.1,88,volleyball,0,0,0,0
20,Abdalaati Iguider,MAR,male,3/25/1987,1.73,57,athletics,0,0,0,0
21,Abdalelah Haroun,QAT,male,1/1/1997,1.85,80,athletics,0,0,0,0
22,Abdalla Targan,SUD,male,9/28/1996,1.77,65,athletics,0,0,0,0
23,Abdel Aziz Mehelba,EGY,male,12/10/1988,1.76,80,shooting,0,0,0,0
24,Abdelati El Guesse,MAR,male,2/27/1993,1.9,72,athletics,0,0,0,0
25,Abdelaziz Merzougui,ESP,male,8/30/1991,1.75,67,athletics,0,0,0,0
26,Abdelaziz Mohamed Ahmed,SUD,male,10/12/1994,1.81,72,aquatics,0,0,0,0
27,Abdelghani Demmou,ALG,male,1/29/1989,1.85,75,football,0,0,0,0
28,Abdelhafid Benchabla,ALG,male,9/26/1986,1.86,72.5,boxing,0,0,0,0
29,Abdelhakim Amokrane,ALG,male,5/10/1994,1.86,70,football,0,0,0,0
30,Abdelkader Chadi,ALG,male,,1.78,74.5,boxing,0,0,0,0
31,Abdelkadir Salhi,ALG,male,3/19/1993,1.85,79,football,0,0,0,0
32,Abdelkebir Ouaddar,MAR,male,7/15/1962,1.74,67,equestrian,0,0,0,0
33,Abdelkhalek Elbanna,EGY,male,7/4/1988,1.93,95,rowing,0,0,0,0
34,Abdellatif Mohamed Ahmed Mohamed,EGY,male,12/8/1995,1.76,120,wrestling,0,0,0,0
35,Abdelmajid El Hissouf,MAR,male,,1.7,56,athletics,0,0,0,0
36,Abdelmalik Lahoulou,ALG,male,5/7/1992,1.77,72,athletics,0,0,0,0
37,Abdelrahman Salah Orabi Abdelgawwad,EGY,male,10/9/1987,1.85,68.5,boxing,0,0,0,0
38,Abdelraouf Benguit,ALG,male,4/5/1996,1.7,65,football,0,0,0,0
39,Abderrahmane Benamadi,ALG,male,7/3/1985,1.83,90,judo,0,0,0,0
40,Abderrahmane Mansouri,ALG,male,1/13/1995,1.72,66,cycling,0,0,0,0
41,Abderrahmane Meziane,ALG,male,3/7/1994,1.68,62,football,0,0,0,0
42,Abdi Hakin Ulad,DEN,male,6/14/1991,1.75,57,athletics,0,0,0,0
43,Abdi Nageeye,NED,male,3/2/1989,1.65,54,athletics,0,0,0,0
44,Abdi Waiss Mouhyadin,DJI,male,7/3/1996,1.6,60,athletics,0,0,0,0
45,Abdoul Khadre Mbaye Niane,SEN,male,8/20/1988,1.9,90,aquatics,0,0,0,0
46,Abdoulkarim Fawziya,CMR,female,3/1/1989,1.8,67,volleyball,0,0,0,0
47,Abdoullah Bamoussa,ITA,male,6/8/1986,1.935,82.5,athletics,0,0,0,0
48,Abdoulrazak Issoufou Alfaga,NIG,male,12/26/1994,2.07,98,taekwondo,0,1,0,1
49,Abdul Khalili,SWE,male,6/7/1992,1.81,71,football,0,0,0,0
50,Abdul Omar,GHA,male,10/3/1993,1.78,69.5,boxing,0,0,0,0
51,Abdul Wahab Zahiri,AFG,male,5/27/1992,1.75,68,athletics,0,0,0,0
52,Abdulaziz Alshatti,IOA,male,10/30/1990,1.815,69.66666667,fencing,0,0,0,0
53,Abdulkadir Abdullayev,AZE,male,7/17/1988,1.88,71.33333333,boxing,0,0,0,0
54,Abdullah Abkar Mohammed,KSA,male,1/1/1997,1.72,73,athletics,0,0,0,0
55,Abdullah Alrashidi,IOA,male,8/21/1963,1.83,84,shooting,0,0,1,1
56,Abdullah Hel Baki,BAN,male,8/1/1989,1.765,100,shooting,0,0,0,0
57,Abdullahi Shehu,NGR,male,3/12/1993,1.7,116,football,0,0,1,1
58,Abdullo Tangriev,UZB,male,3/28/1981,1.9,132,judo,0,0,0,0
59,Abdulrahman Al Faihan,IOA,male,6/24/1986,1.835,109,shooting,0,0,0,0
60,Abdulrashid Sadulaev,RUS,male,5/9/1996,1.77,86,wrestling,1,0,0,1
61,Abdulrazzaq Murad,QAT,male,6/29/1990,1.86,77,handball,0,0,0,0
62,Abeku Gyekye Jackson,GHA,male,4/12/2000,1.805,73.5,aquatics,0,0,0,0
63,Abhinav Bindra,IND,male,9/28/1982,1.75,70,shooting,0,0,0,0
64,Abigail Johnston,USA,female,11/16/1989,1.66,61,aquatics,0,0,0,0
65,Abigel Joo,HUN,female,8/6/1990,1.83,76,judo,0,0,0,0
66,Ablaikhan Zhussupov,KAZ,male,1/10/1997,1.75,70.5,boxing,0,0,0,0
67,Abraham Kipchirchir Rotich,BRN,male,9/26/1993,1.83,65,athletics,0,0,0,0
68,Abraham Naibei Cheroben,BRN,male,10/11/1992,1.76,60,athletics,0,0,0,0
69,Abraham Niyonkuru,BDI,male,12/26/1989,1.62,52,athletics,0,0,0,0
70,Abrar Osman,ERI,male,1/1/1994,1.68,58,athletics,0,0,0,0
71,Abubaker Haydar Abdalla,QAT,male,8/28/1996,1.8,60,athletics,0,0,0,0
72,Achraf Kharroubi,MAR,male,9/25/1990,1.6,65.5,boxing,0,0,0,0
73,Adam Batirov,BRN,male,1/13/1985,1.65,71,wrestling,0,0,0,0
74,Adam Cwalina,POL,male,1/26/1985,1.87,81,badminton,0,0,0,0
75,Adam Decker,HUN,male,2/29/1984,2.03,115,aquatics,0,0,0,0
76,Adam Dixon,GBR,male,9/11/1986,1.69,70,hockey,0,0,0,0
77,Adam Froese,CAN,male,8/13/1991,1.82,81,hockey,0,0,0,0
78,Adam Gemili,GBR,male,10/6/1993,1.78,75,athletics,0,0,0,0
79,Adam Imer,BRA,male,8/18/1989,1.82,88,hockey,0,0,0,0
80,Adam Kszczot,POL,male,9/2/1989,1.78,68,athletics,0,0,0,0
81,Adam Lundqvist,SWE,male,3/20/1994,1.74,70,football,0,0,0,0
82,Adam Marosi,HUN,male,7/26/1984,1.81,75,modern pentathlon,0,0,0,0
83,Adam Okruashvili,GEO,male,1/1/1989,1.89,130,judo,0,0,0,0
84,Adam Pattantyus,HUN,male,10/10/1978,1.75,71,table tennis,0,0,0,0
85,Adam Peaty,GBR,male,12/28/1994,1.93,88,aquatics,1,1,0,2
86,Adam Sebastian Helcelet,CZE,male,10/27/1991,1.9,92,athletics,0,0,0,0
87,Adam Telegdy,HUN,male,11/1/1995,1.94,77,aquatics,0,0,0,0
88,Adam Vella,AUS,male,6/12/1971,1.78,92,shooting,0,0,0,0
89,Adam Viktora,SEY,male,9/6/1996,1.88,94,aquatics,0,0,0,0
90,Adam Wisniewski,POL,male,10/24/1980,1.93,93,handball,0,0,0,0
91,Adam Yates,GBR,male,8/7/1992,1.72,58,cycling,0,0,0,0
92,Adam van Koeverden,CAN,male,1/29/1982,1.82,85,canoe,0,0,0,0
93,Adama Diatta,SEN,male,8/14/1988,1.65,57,wrestling,0,0,0,0
94,Adama Jammeh,GAM,male,6/10/1993,1.795,73.5,athletics,0,0,0,0
95,Adas Juskevicius,LTU,male,1/3/1989,1.94,90,basketball,0,0,0,0
96,Adel Gholami,IRI,male,2/9/1986,1.95,88,volleyball,0,0,0,0
97,Adel Mechaal,ESP,male,12/5/1990,1.82,71,athletics,0,0,0,0
98,Adel Mojallalimoghadam,IRI,male,3/21/1993,1.85,82,canoe,0,0,0,0
99,Adela Bruns,CZE,female,2/5/1987,1.71,60,shooting,0,0,0,0
100,Adela Hanzlickova,CZE,female,5/4/1994,1.71,67,wrestling,0,0,0,0
101,Adelina Bogus,ROU,female,9/4/1988,1.86,75,rowing,0,0,1,1
102,Adelina Pastor,ROU,female,5/5/1993,1.68,56,athletics,0,0,0,0
