work_year,ExperienceLevel,EmploymentType,JobTitle,Salary,SalaryCurrency,SalaryInUsd,EmployeeResidence,RemoteRatio,CompanyLocation,CompanySize
2023,SE,FT,85,80000,EUR,85847,ES,100,ES,L
2023,MI,CT,78,30000,USD,30000,US,100,US,S
2023,MI,CT,78,25500,USD,25500,US,100,US,S
2023,SE,FT,48,175000,USD,175000,CA,100,CA,M
2023,SE,FT,48,120000,USD,120000,CA,100,CA,M
2023,SE,FT,9,222200,USD,222200,US,0,US,L
2023,SE,FT,9,136000,USD,136000,US,0,US,L
2023,SE,FT,48,219000,USD,219000,CA,0,CA,M
2023,SE,FT,48,141000,USD,141000,CA,0,CA,M
2023,SE,FT,48,147100,USD,147100,US,0,US,M
2023,SE,FT,48,90700,USD,90700,US,0,US,M
2023,SE,FT,26,130000,USD,130000,US,100,US,M
2023,SE,FT,26,100000,USD,100000,US,100,US,M
2023,EN,FT,9,213660,USD,213660,US,0,US,L
2023,EN,FT,9,130760,USD,130760,US,0,US,L
2023,SE,FT,39,147100,USD,147100,US,0,US,M
2023,SE,FT,39,90700,USD,90700,US,0,US,M
2023,SE,FT,48,170000,USD,170000,US,0,US,M
2023,SE,FT,48,150000,USD,150000,US,0,US,M
2023,MI,FT,26,150000,USD,150000,US,100,US,M
2023,MI,FT,26,110000,USD,110000,US,100,US,M
2023,SE,FT,89,275000,USD,275000,DE,0,DE,M
2023,SE,FT,89,174000,USD,174000,DE,0,DE,M
2023,SE,FT,5,230000,USD,230000,GB,100,GB,M
2023,SE,FT,5,143200,USD,143200,GB,100,GB,M
2023,SE,FT,19,225000,USD,225000,US,0,US,M
2023,SE,FT,19,156400,USD,156400,US,0,US,M
2023,SE,FT,68,200000,USD,200000,US,0,US,M
2023,SE,FT,68,130000,USD,130000,US,0,US,M
2023,SE,FT,51,90000,USD,90000,CA,0,CA,M
2023,SE,FT,51,72000,USD,72000,CA,0,CA,M
2023,SE,FT,34,253200,USD,253200,US,0,US,M
2023,SE,FT,34,90700,USD,90700,US,0,US,M
2023,SE,FT,24,342810,USD,342810,US,0,US,M
2023,SE,FT,24,184590,USD,184590,US,0,US,M
2023,MI,FT,34,162500,USD,162500,US,0,US,M
2023,MI,FT,34,130000,USD,130000,US,0,US,M
2023,MI,FT,26,105380,USD,105380,US,0,US,M
2023,MI,FT,26,64500,USD,64500,US,0,US,M
2023,EN,FT,42,100000,USD,100000,NG,100,NG,L
2023,EN,FT,23,30000,USD,30000,NG,100,NG,L
